team,att_strength,def_strength,att_perc,def_perc,season
CSU Bakersfield,0.20925278846748094,0.08452073745486721,45.85365853658537,44.390243902439025,2016
CSUN,0.28541026788031104,-0.25784585180876785,56.58536585365853,79.51219512195122,2016
Cal Poly,0.4595456331546055,-0.3507105225262865,78.04878048780488,85.36585365853658,2016
Cal St. Fullerton,0.3875817377795596,-0.4195189994578364,69.7560975609756,87.8048780487805,2016
California,0.7122013481723464,0.06337994028954977,91.70731707317074,47.3170731707317,2016
Campbell,0.2449691693573685,0.7524157662127839,51.21951219512195,5.365853658536586,2016
Canisius,0.055082042155680515,0.2567056388148584,34.63414634146341,28.292682926829265,2016
Central Ark.,-0.41675069435689743,0.8262294968926345,7.804878048780488,4.878048780487805,2016
Central Conn. St.,0.0487101774517752,0.5235076147453391,33.170731707317074,14.146341463414632,2016
Charlotte,0.5259206390923095,-0.6597818738848279,81.95121951219512,95.1219512195122,2016
Cincinnati,0.3140907134341638,0.4024398304509245,61.46341463414634,19.51219512195122,2016
Clemson,0.9367026219002303,-0.5490694104029715,99.02439024390245,90.73170731707317,2016
Cleveland St.,-0.07034270673849917,0.12065238412175047,24.878048780487806,42.4390243902439,2016
Coastal Caro.,0.33326747069661977,-0.6252971027350824,65.3658536585366,93.65853658536587,2016
Col. of Charleston,0.18710256550615104,-0.035848689711013064,43.41463414634146,63.41463414634146,2016
Colgate,0.2672269103760264,-0.15678109216772376,54.63414634146342,74.63414634146342,2016
Columbia,-0.02144698182427256,-0.26402616830137315,28.292682926829265,80.48780487804879,2016
Cornell,-0.5816014978428125,0.19631772059507796,2.9268292682926833,35.12195121951219,2016
Creighton,0.9326810262402444,-0.5528942280941722,98.53658536585365,91.70731707317074,2016
Dartmouth,0.3687667716427765,-0.6066193124657778,67.8048780487805,92.6829268292683,2016
Davidson,-0.2427786184897153,0.32401939286546394,14.146341463414632,23.902439024390244,2016
Dayton,0.8591169674269838,0.14251404488189875,97.07317073170731,39.02439024390244,2016
DePaul,0.13860777524412438,0.081590556782112,39.02439024390244,45.36585365853659,2016
Delaware,0.4647455669160738,0.030295527405313633,79.02439024390245,50.73170731707317,2016
Denver,0.2371052733496343,-1.0162247941133309,50.73170731707317,100.0,2016
Detroit,-0.12837926218902765,0.12974686256936088,20.48780487804878,41.46341463414634,2016
Drake,0.3117084431407673,0.013968576827352723,60.97560975609756,53.65853658536586,2016
Drexel,-0.5041213301853341,0.4995010951646628,5.365853658536586,15.609756097560975,2016
Duke,0.6629518736537757,0.183986252942423,91.21951219512195,36.09756097560975,2016
Duquesne,0.07969856697843322,0.23677827042270586,36.09756097560975,31.21951219512195,2016
East Tenn. St.,0.31412479331383825,0.07979198353532364,61.951219512195124,45.85365853658537,2016
Eastern Ill.,-0.24284145242603786,0.9726823306166256,13.658536585365855,1.951219512195122,2016
Elon,0.5508766874356863,-0.15244876391556733,83.90243902439025,74.14634146341463,2016
Evansville,0.219281533653147,0.9399582086959508,48.292682926829265,2.9268292682926833,2016
FGCU,0.4661881304035881,-0.4173002323078452,80.0,87.3170731707317,2016
FIU,0.8890353853724573,-0.06444642446744131,97.5609756097561,66.34146341463415,2016
Fairfield,-0.16392723331842146,-0.026372861931370832,17.560975609756095,60.97560975609756,2016
Fairleigh Dickinson,-0.06538867192356274,0.6982868150015907,25.365853658536587,6.341463414634147,2016
Fla. Atlantic,-0.4950642024892923,0.524182968382519,5.853658536585367,13.658536585365855,2016
Fordham,-0.07752019004249623,0.2495140116906981,24.390243902439025,29.268292682926827,2016
Furman,-0.057683620864163836,-0.2656815501074895,25.853658536585368,80.97560975609757,2016
