,Unnamed: 0,assists,class_year,corners,d_saves,division_id,fouls,g_loss,g_wins,ga,gaa,gc,ggs,goal_app,goalie_min_played,goals,gp,gs,gwg,jersey_number,ncaa_name,player_name,points,ps,psa,red_cards,save_pct,saves,school,season,sh_att,shutouts,team_name,year,yellow_cards
0,0,7.0,Sr,,,1,,,,,,,,,,4.0,18.0,18.0,1.0,9,Alex Morrell,"Morrell, Alex",15.0,,,,,,North Florida,2016,34.0,,North Florida,2016,2.0
1,1,1.0,Jr,,,1,,3.0,17.0,22.0,0.882,,24.0,24.0,"134,662",,24.0,24.0,,22,Andrew Tarbell,"Tarbell, Andrew",1.0,,,,0.792,84.0,Clemson,2016,,9.0,Clemson,2016,
2,2,,Sr,,,1,,,,,,,,,,1.0,16.0,16.0,1.0,14,Antonio Matarazzo,"Matarazzo, Antonio",2.0,,,,,,Columbia,2016,22.0,,Columbia,2016,1.0
3,3,4.0,Jr,,,1,,,,,,,,,,12.0,23.0,22.0,5.0,7,Ben Polk,"Polk, Ben",28.0,,,,,,Syracuse,2016,65.0,,Syracuse,2016,
4,4,2.0,Sr,5.0,,1,,,,,,,,,,6.0,23.0,23.0,,3,Brandon Vincent,"Vincent, Brandon",14.0,,6.0,,,,Stanford,2016,27.0,,Stanford,2016,2.0
5,5,6.0,Sr,1.0,,1,,,,,,,,,,7.0,21.0,21.0,2.0,10,Chase Minter,"Minter, Chase",20.0,,2.0,,,,Cal Poly,2016,50.0,,Cal Poly,2016,3.0
6,6,1.0,Sr,,,1,,,,,,,,,,2.0,21.0,21.0,1.0,14,Cole Seiler,"Seiler, Cole",5.0,,,,,,Georgetown,2016,13.0,,Georgetown,2016,1.0
7,7,6.0,Sr,1.0,,1,1.0,,,,,,,,,7.0,18.0,18.0,2.0,23,Colin Bonner,"Bonner, Colin",20.0,,1.0,,,,UNCW,2016,43.0,,UNCW,2016,1.0
8,8,,Sr,,,1,,4.0,19.0,19.0,0.821,,23.0,23.0,"124,990",,23.0,23.0,,0,Connor Sparrow,"Sparrow, Connor",0.0,,,,0.736,53.0,Creighton,2016,,9.0,Creighton,2016,
9,9,3.0,Sr,2.0,,1,,,,,,,,,,6.0,13.0,11.0,3.0,21,Darius Madison,"Madison, Darius",15.0,,2.0,1.0,,,UMBC,2016,45.0,,UMBC,2016,5.0
10,10,,Sr,,,1,,,,,,,,,,3.0,21.0,21.0,1.0,3,Dennis Castillo,"Castillo, Dennis",6.0,,,,,,VCU,2016,20.0,,VCU,2016,4.0
11,11,6.0,Sr,2.0,,1,1.0,,,,,,,,,5.0,19.0,18.0,3.0,3,Emmanuel Appiah,"Appiah, Emmanuel",16.0,,2.0,,,,Cincinnati,2016,44.0,,Cincinnati,2016,
12,12,13.0,Sr,,,1,,,,,,,,,,2.0,23.0,23.0,1.0,15,Eric Verso,"Verso, Eric",17.0,,,,,,Stanford,2016,44.0,,Stanford,2016,3.0
13,13,17.0,Jr,4.0,,1,,,,,,,,,,15.0,23.0,23.0,5.0,14,Fabian Herbers,"Herbers, Fabian",47.0,,4.0,,,,Creighton,2016,94.0,,Creighton,2016,5.0
14,14,5.0,Sr,3.0,,1,3.0,,,,,,,,,8.0,21.0,21.0,3.0,4,Femi Hollinger-Janzen,"Hollinger-Janzen, Femi",21.0,,4.0,,,,Indiana,2016,76.0,,Indiana,2016,
15,15,3.0,Sr,,,1,7.0,,,,,,,,,10.0,17.0,17.0,1.0,7,Hadji Barry,"Barry, Hadji",23.0,,,,,,UCF,2016,39.0,,UCF,2016,2.0
16,16,1.0,Sr,,,1,3.0,,,,,,,,,1.0,22.0,22.0,,4,Ivan Magalhaes,"Magalhaes, Ivan",3.0,,,1.0,,,Maryland,2016,15.0,,Maryland,2016,4.0
17,17,,Sr,3.0,,1,,,,,,,,,,3.0,6.0,6.0,3.0,15,James Moberg,"Moberg, James",6.0,,3.0,,,,Washington,2016,14.0,,Washington,2016,1.0
18,18,4.0,Sr,,,1,,,,,,,,,,1.0,20.0,20.0,,2,Jonathan Campbell,"Campbell, Jonathan",6.0,,,,,,North Carolina,2016,13.0,,North Carolina,2016,2.0
19,19,5.0,Sr,,,1,,,,,,,,,,,20.0,20.0,,9,Jordan McCrary,"McCrary, Jordan",5.0,,,,,,North Carolina,2016,4.0,,North Carolina,2016,2.0
20,20,1.0,Sr,,,1,,,,,,,,,,,18.0,18.0,,11,Josh Turnley,"Turnley, Josh",1.0,,,,,,Georgetown,2016,13.0,,Georgetown,2016,
21,21,1.0,Jr,,,1,,,,,,,,,,,17.0,17.0,,5,Joshua Yaro,"Yaro, Joshua",1.0,,,,,,Georgetown,2016,1.0,,Georgetown,2016,1.0
22,22,11.0,So,1.0,,1,1.0,,,,,,,,,8.0,25.0,25.0,1.0,10,Julian Buescher,"Buescher, Julian",27.0,,1.0,,,,Syracuse,2016,64.0,,Syracuse,2016,4.0
23,23,3.0,Sr,,,1,,,,,,,,,,1.0,16.0,16.0,,3,Justin Bilyeu,"Bilyeu, Justin",5.0,,1.0,,,,SIUE,2016,9.0,,SIUE,2016,
24,24,6.0,Sr,,,1,,,,,,,,,,2.0,21.0,21.0,1.0,12,Keegan Rosenberry,"Rosenberry, Keegan",10.0,,,,,,Georgetown,2016,32.0,,Georgetown,2016,
25,25,3.0,Sr,2.0,,1,2.0,,,,,,,,,7.0,18.0,18.0,2.0,9,Keegan Smith,"Smith, Keegan",17.0,,2.0,,,,San Diego,2016,52.0,,San Diego,2016,1.0
26,26,1.0,Sr,,,1,,,,,,,,,,1.0,20.0,20.0,,2,Kyle Fisher,"Fisher, Kyle",3.0,,,,,,Clemson,2016,18.0,,Clemson,2016,1.0
27,27,3.0,Sr,2.0,,1,,,,,,,,,,12.0,20.0,20.0,5.0,22,Kyle Parker,"Parker, Kyle",27.0,,3.0,,,,Charlotte,2016,67.0,,Charlotte,2016,1.0
28,28,6.0,Sr,2.0,,1,4.0,,,,,,,,,2.0,23.0,23.0,1.0,5,Liam Doyle,"Doyle, Liam",10.0,,4.0,,,,Ohio St.,2016,37.0,,Ohio St.,2016,4.0
29,29,5.0,Sr,,,1,,,,,,,,,,3.0,21.0,21.0,2.0,6,Max Lachowecki,"Lachowecki, Max",11.0,,,,,,Notre Dame,2016,19.0,,Notre Dame,2016,2.0
30,30,2.0,Sr,1.0,,1,,,,,,,,,,6.0,14.0,11.0,3.0,10,Michael Gamble,"Gamble, Michael",14.0,,1.0,,,,Wake Forest,2016,36.0,,Wake Forest,2016,2.0
31,31,3.0,Sr,,,1,3.0,,,,,,,,,6.0,19.0,18.0,2.0,17,Michael Salazar,"Salazar, Michael",15.0,,,,,,UC Riverside,2016,40.0,,UC Riverside,2016,1.0
32,32,6.0,Sr,,,1,2.0,,,,,,,,,,21.0,21.0,,14,Mitch Lurie,"Lurie, Mitch",6.0,,,,,,Rutgers,2016,7.0,,Rutgers,2016,2.0
33,33,5.0,Sr,1.0,,1,1.0,,,,,,,,,5.0,20.0,20.0,2.0,5,Mitchell Taintor,"Taintor, Mitchell",15.0,,1.0,,,,Rutgers,2016,56.0,,Rutgers,2016,6.0
34,34,5.0,Sr,3.0,,1,,,,,,,,,,13.0,18.0,16.0,7.0,15,Neco Brett,"Brett, Neco",31.0,,3.0,1.0,,,Robert Morris,2016,71.0,,Robert Morris,2016,3.0
35,35,1.0,Jr,,,1,,,,,,,,,,1.0,17.0,16.0,,14,Omar Holness,"Holness, Omar",3.0,,,,,,North Carolina,2016,40.0,,North Carolina,2016,3.0
36,36,6.0,Sr,,,1,,,,,,,,,,3.0,21.0,21.0,,27,Patrick Hodan,"Hodan, Patrick",12.0,,,,,,Notre Dame,2016,63.0,,Notre Dame,2016,1.0
37,37,1.0,Sr,,,1,,,,,,,,,,2.0,24.0,24.0,,6,Paul Clowes,"Clowes, Paul",5.0,,,,,,Clemson,2016,13.0,,Clemson,2016,5.0
38,38,7.0,So,,,1,,,,,,,,,,11.0,22.0,22.0,3.0,6,Richie Laryea,"Laryea, Richie",29.0,,,,,,Akron,2016,61.0,,Akron,2016,6.0
39,39,3.0,Sr,,,1,,,,,,,,,,,13.0,12.0,,6,Rodrigo Saravia,"Saravia, Rodrigo",3.0,,,,,,FGCU,2016,6.0,,FGCU,2016,5.0
40,40,,Sr,,,1,,4.0,7.0,12.0,0.631,,18.0,18.0,"102,702",,18.0,18.0,,1,Ryan Herman,"Herman, Ryan",0.0,,,,0.8759999999999999,85.0,Washington,2016,,10.0,Washington,2016,
41,41,5.0,Sr,,,1,1.0,,,,,,,,,4.0,19.0,19.0,1.0,7,Ryan James,"James, Ryan",13.0,,,,,,Bowling Green,2016,33.0,,Bowling Green,2016,1.0
42,42,,Sr,,,1,,,,,,,,,,,12.0,11.0,,3,Taylor Washington,"Washington, Taylor",0.0,,,,,,George Mason,2016,4.0,,George Mason,2016,
43,43,5.0,Sr,,,1,,,,,,,,,,13.0,17.0,17.0,5.0,22,Thomas Sanner,"Sanner, Thomas",31.0,,,,,,Princeton,2016,69.0,,Princeton,2016,
44,44,5.0,Sr,,,1,,,,,,,,,,10.0,23.0,23.0,5.0,18,Timo Pitter,"Pitter, Timo",25.0,,,,,,Creighton,2016,73.0,,Creighton,2016,2.0
45,45,4.0,Sr,2.0,,1,,,,,,,,,,10.0,24.0,21.0,6.0,10,T.J. Casner,"Casner, T.J.",24.0,,2.0,,,,Clemson,2016,53.0,,Clemson,2016,
46,46,6.0,Sr,,,1,,,,,,,,,,5.0,23.0,23.0,2.0,31,Tsubasa Endoh,"Endoh, Tsubasa",16.0,,,,,,Maryland,2016,68.0,,Maryland,2016,
47,47,,Sr,1.0,,1,1.0,,,,,,,,,1.0,17.0,17.0,,5,Tyler David,"David, Tyler",2.0,,1.0,,,,Saint Louis,2016,8.0,,Saint Louis,2016,1.0
48,48,3.0,Sr,,,1,,,,,,,,,,,20.0,20.0,,7,Ty Thompson,"Thompson, Ty",3.0,,,,,,Stanford,2016,23.0,,Stanford,2016,4.0
49,49,4.0,Sr,,,1,1.0,,,,,,,,,11.0,17.0,15.0,4.0,15,Vincent Mitchell,"Mitchell, Vincent",26.0,,,,,,Butler,2016,40.0,,Butler,2016,
50,50,,Sr,,,1,,5.0,11.0,24.0,1.0759999999999998,,21.0,21.0,"120,469",,21.0,21.0,,1,Wade Hamilton,"Hamilton, Wade",0.0,,,,0.742,69.0,Cal Poly,2016,,8.0,Cal Poly,2016,
51,51,2.0,Sr,1.0,,1,1.0,,,,,,,,,2.0,17.0,16.0,2.0,5,Zach Carroll,"Carroll, Zach",6.0,,2.0,,,,Michigan St.,2016,10.0,,Michigan St.,2016,4.0
52,52,8.0,Sr,2.0,,1,27.0,,,,,,,,,8.0,19.0,17.0,2.0,15,Zach Mathers,"Mathers, Zach",24.0,,2.0,,,,Duke,2016,64.0,,Duke,2016,4.0
53,53,2.0,Sr,,,1,,,,,,,,,,,23.0,23.0,,8,Duncan Backus,"Backus, Duncan",2.0,,,,,,UC Santa Barbara,2016,6.0,,UC Santa Barbara,2016,4.0
54,54,4.0,Sr,,,1,,,,,,,,,,1.0,18.0,18.0,1.0,10,Mikhail Doholis,"Doholis, Mikhail",6.0,,,,,,Oregon St.,2016,25.0,,Oregon St.,2016,4.0
55,55,,Sr,,,1,,5.0,12.0,13.0,0.66,,19.0,19.0,"106,343",,19.0,19.0,,1,Callum Irving,"Irving, Callum",0.0,,,,0.8059999999999999,54.0,Kentucky,2016,,9.0,Kentucky,2016,
56,56,,Sr,,,1,,3.0,8.0,13.0,0.7020000000000001,,18.0,18.0,"100,063",,18.0,18.0,,1,Sven Lissek,"Lissek, Sven",0.0,,,,0.7290000000000001,35.0,Furman,2016,,7.0,Furman,2016,2.0
57,57,9.0,Sr,2.0,,1,,,,,,,,,,10.0,22.0,22.0,5.0,19,Jamie Luchini,"Luchini, Jamie",29.0,,2.0,,,,Lehigh,2016,96.0,,Lehigh,2016,1.0
58,58,3.0,Sr,1.0,,1,4.0,,,,,,,,,1.0,18.0,18.0,,7,Todd Wharton,"Wharton, Todd",5.0,,2.0,,,,Virginia,2016,18.0,,Virginia,2016,3.0
59,59,1.0,Sr,,,1,,,,,,,,,,2.0,21.0,21.0,,3,Connor Klekota,"Klekota, Connor",5.0,,,,,,Notre Dame,2016,17.0,,Notre Dame,2016,2.0
60,60,2.0,Sr,,,1,2.0,,,,,,,,,7.0,19.0,14.0,1.0,10,Norberto Ochoa,"Ochoa, Norberto",16.0,,,,,,UC Riverside,2016,50.0,,UC Riverside,2016,3.0
61,61,1.0,Sr,,,1,2.0,,,,,,,,,,21.0,21.0,,8,Miguel Salazar,"Salazar, Miguel",1.0,,,,,,Elon,2016,24.0,,Elon,2016,3.0
0,0,4.0,Sr,,,1,,,,,,,,,,3.0,22.0,22.0,2.0,11,Aaron Jones,"Jones, Aaron",10.0,,,,,,Clemson,2017,29.0,,Clemson,2017,3.0
1,1,2.0,Jr,,,1,,,,,,,,,,7.0,11.0,8.0,2.0,9,Abu Danladi,"Danladi, Abu",16.0,,,,,,UCLA,2017,39.0,,UCLA,2017,2.0
2,2,3.0,Sr,,,1,,,,,,,,,,1.0,14.0,14.0,,10,Andrew Wheeler-Omiunu,"Wheeler-Omiunu, Andrew",5.0,,,,,,Harvard,2017,9.0,,Harvard,2017,1.0
3,3,1.0,Sr,3.0,,1,2.0,,,,,,,,,9.0,21.0,21.0,3.0,10,Brandon Aubrey,"Aubrey, Brandon",19.0,,3.0,,,,Notre Dame,2017,32.0,,Notre Dame,2017,2.0
4,4,5.0,Sr,6.0,,1,,,,,,,,,,9.0,18.0,18.0,4.0,10,Brandt Bronico,"Bronico, Brandt",23.0,,7.0,,,,Charlotte,2017,49.0,,Charlotte,2017,
5,5,2.0,Sr,,,1,,,,,,,,,,,22.0,22.0,,8,Brian Nana-Sinkam,"Nana-Sinkam, Brian",2.0,,,,,,Stanford,2017,3.0,,Stanford,2017,6.0
6,6,12.0,Sr,,,1,,,,,,,,,,14.0,22.0,22.0,6.0,7,Brian Wright,"Wright, Brian",40.0,,,,,,Vermont,2017,75.0,,Vermont,2017,1.0
7,7,1.0,Sr,2.0,,1,,,,,,,,,,7.0,20.0,19.0,5.0,17,Chris Nanco,"Nanco, Chris",15.0,,2.0,,,,Syracuse,2017,54.0,,Syracuse,2017,
8,8,6.0,Sr,,,1,,,,,,,,,,1.0,20.0,20.0,,28,Chris Odoi-Atsem,"Odoi-Atsem, Chris",8.0,,,,,,Maryland,2017,5.0,,Maryland,2017,
9,9,8.0,Sr,3.0,,1,,,,,,,,,,4.0,19.0,18.0,3.0,10,Christopher Wingate,"Wingate, Christopher",16.0,,3.0,,,,New Hampshire,2017,32.0,,New Hampshire,2017,2.0
