season,team,player,position,school,affiliation,pick,generation_adidas
2017,Minnesota United FC,Abu Danladi,Forward,UCLA,Ventura County Fusion,1,1
2017,Minnesota United FC,Alec Ferrell,Goalkeeper,Wake Forest,Carolina Dynamo,23,0
2017,Minnesota United FC,Thomas de Villardi,Defender,Delaware,New York Red Bulls U-23,42,0
2017,Montreal Impact,Nick DePuy,Forward,UC Santa Barbara,Ventura County Fusion,19,0
2017,Montreal Impact,Shamit Shome,Midfielder,FC Edmonton,None,41,1
2017,New England Revolution,Brian Wright,Forward,Vermont,Burlingame Dragons,20,0
2017,New England Revolution,Napo Matsoso,Midfielder,Kentucky,Derby City Rovers,31,0
2017,New York City FC,Jonathan Lewis,Forward,Akron,None,3,1
2017,New York City FC,Kwame Awuah,Midfielder,Connecticut,None,16,0
2017,New York City FC,Jalen Brown,Forward,Xavier,Des Moines Menace,38,0
2017,New York Red Bulls,Zeiko Lewis,Midfielder,Boston College,Real Boston Rams,17,0
2017,New York Red Bulls,Ethan Kutler,Forward,Colgate,Michigan Bucks,39,0
2017,Philadelphia Union,Marcus Epps,Forward,South Florida,Chicago Fire U-23,25,0
2017,Philadelphia Union,Aaron Jones,Defender,Clemson,Carolina Dynamo,33,0
2017,Portland Timbers,Jeremy Ebobisse,Forward,Duke,D.C. United U-23,4,0
2017,Portland Timbers,Michael Amick,Defender,UCLA,FC Golden State Force,32,0
2017,Real Salt Lake,Reagan Dunk,Defender,Denver,None,13,0
2017,Real Salt Lake,Justin Schmidt,Defender,Washington,Washington Crossfire,35,0
2017,San Jose Earthquakes,Jackson Yueill,Midfielder,UCLA,None,6,1
2017,San Jose Earthquakes,Lindo Mfeka,Midfielder,South Florida,Reading United,28,0
2017,Seattle Sounders FC,Brian Nana-Sinkam,Defender,Stanford,Burlingame Dragons,22,0
2017,Seattle Sounders FC,Dominic Oduro,Defender,FC Nordsjaelland,None,44,0
2017,Sporting Kansas City,Colton Storm,Defender,North Carolina,Portland Timbers U23s,14,0
2017,Toronto FC,Brandon Aubrey,Defender,Notre Dame,None,21,0
2017,Vancouver Whitecaps FC,Jakob Nerwinski,Defender,Connecticut,None,7,0
2017,Vancouver Whitecaps FC,Francis de Vries,Defender,St. Francis,Michigan Bucks,29,0
2017,Colorado Rapids,Jaime Siaj,F,Pfeiffer,Charlotte Eagles,45,0
2017,Atlanta United FC,Andrew Wheeler-Omiunu,M,Harvard,Seattle Sounders FC U-23,46,0
2017,Chicago Fire,Brandt Bronico,M,Charlotte,Carolina Dynamo,47,0
